genreid,name
1,Action
2,Free to Play
3,Strategy
4,Adventure
5,Indie
6,RPG
7,Animation & Modeling
8,Video Production
9,Casual
10,Simulation
11,Racing
12,Violent
13,Massively Multiplayer
14,Nudity
15,Sports
16,Early Access
17,Gore
18,Utilities
19,Design & Illustration
20,Web Publishing
21,Education
22,Software Training
23,Sexual Content
24,Audio Production
25,Game Development
26,Photo Editing
27,Accounting
28,Documentary
29,Tutorial
30,Fighting
31,Shooter
32,Platform
33,Puzzle
34,Role-Playing
35,Misc
