categoryid,name
1,Multi-player
2,Online Multi-Player
3,Local Multi-Player
4,Valve Anti-Cheat enabled
5,Single-player
6,Steam Cloud
7,Steam Achievements
8,Steam Trading Cards
9,Captions available
10,Partial Controller Support
11,Includes Source SDK
12,Cross-Platform Multiplayer
13,Stats
14,Commentary available
15,Includes level editor
16,Steam Workshop
17,In-App Purchases
18,Co-op
19,Full controller support
20,Steam Leaderboards
21,SteamVR Collectibles
22,Online Co-op
23,Shared/Split Screen
24,Local Co-op
25,MMO
26,VR Support
27,Mods
28,Mods (require HL2)
29,Steam Turn Notifications
